title,id,Action,Adventure,Animation &amp; Modeling,Audio Production,Casual,Design &amp; Illustration,Early Access,Education,Free to Play,Indie,Massively Multiplayer,Photo Editing,RPG,Racing,Simulation,Software Training,Sports,Strategy,Utilities,Video Production,Web Publishing,year,user_id,items_count,steam_id,playtime_forever,playtime_2weeks
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,kube134,476,76561198031442694,4,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,76561198030567998,75,76561198030567998,21,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,jonasdbomb,461,76561198026525528,0,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,washington_,112,76561198044031549,33,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,Mastic,365,76561198070257177,339,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,advenger95,104,76561198029864696,339,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,76561198003056556,557,76561198003056556,0,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,76561198085956238,88,76561198085956238,87,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,uradumbtit,246,76561198064433302,133,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,76561198020928326,110,76561198020928326,5599,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,76561198020928326,110,76561198020928326,5599,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,76561198020928326,110,76561198020928326,5599,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,76561198020928326,110,76561198020928326,5599,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,scroopy22,460,76561198007437864,0,0
Half-Life,70,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1998,auzzie_96,92,76561198150875994,0,0
